#Coor Free
-128.011111 10.640416
-126.033333 10.003554
-124.055556 9.516988
-122.077778 9.118224
-120.100000 8.744356
-118.122222 8.236401
-116.144444 7.570745
-114.166667 6.890912
-112.188889 6.277464
-110.211111 5.689685
-108.233333 5.074725
-106.255556 4.549823
-104.277778 4.069645
-102.300000 3.567571
-100.322222 3.121491
-98.344444 2.800566
-96.366667 2.512811
-94.388889 2.192115
-92.411111 1.808511
-90.433333 1.405407
-88.455556 1.141597
-86.477778 0.973155
-84.500000 0.769289
-82.522222 0.499321
-80.544444 0.290545
-78.566667 0.174275
-76.588889 0.089217
-74.611111 0.041174
-72.633333 0.022929
-70.655556 0.000000
-68.677778 0.004338
-66.700000 0.093595
-64.722222 0.216628
-62.744444 0.353875
-60.766667 0.508125
-58.788889 0.626631
-56.811111 0.758210
-54.833333 0.927019
-52.855556 1.117538
-50.877778 1.262304
-48.900000 1.431844
-46.922222 1.684106
-44.944444 1.915620
-42.966667 2.092062
-40.988889 2.234667
-39.011111 2.391894
-37.033333 2.576867
-35.055556 2.720576
-33.077778 2.762818
-31.100000 2.783478
-29.122222 2.880768
-27.144444 3.101179
-25.166667 3.334254
-23.188889 3.421896
-21.211111 3.463349
-19.233333 3.594096
-17.255556 3.793867
-15.277778 3.974142
-13.300000 4.066308
-11.322222 4.142635
-9.344444 4.320782
-7.366667 4.575679
-5.388889 4.763646
-3.411111 4.951467
-1.433333 5.130509
0.544444 5.279883
2.522222 5.445060
4.500000 5.656190
6.477778 5.803160
8.455556 5.911822
10.433333 6.012834
12.411111 6.123716
14.388889 6.265711
16.366667 6.408994
18.344444 6.573395
20.322222 6.734937
22.300000 6.938067
24.277778 7.143990
26.255556 7.392360
28.233333 7.626712
30.211111 7.853141
32.188889 8.080554
34.166667 8.270072
36.144444 8.448297
38.122222 8.657554
40.100000 8.929965
42.077778 9.217137
44.055556 9.507932
46.033333 9.842184
48.011111 10.307127
#Window Free
#0 0.000000
#1 0.134704
#2 0.320508
#3 0.540359
#4 0.761033
#5 0.982997
#6 1.245932
#7 1.571248
#8 1.931206
#9 2.279496
#10 2.607338
#11 2.949708
#12 3.343845
#13 3.795578
#14 4.285122
#15 4.802939
#16 5.357707
#17 5.947124
#18 6.559207
#19 7.193500
#20 7.835340
#21 8.424566
#22 8.915052
#23 9.356635
#24 9.826913
#25 10.250482
#26 -0.090210
#27 -0.146851
#28 -0.179220
#29 -0.191810
#30 -0.175062
#31 -0.115367
#32 -0.014618
#33 0.112634
#34 0.250810
#35 0.388473
#36 0.528680
#37 0.683361
#38 0.851652
#39 1.023110
#40 1.204112
#41 1.409728
#42 1.627969
#43 1.827893
#44 2.000671
#45 2.163143
#46 2.322055
#47 2.453972
#48 2.539329
#49 2.608474
#50 2.713519
#51 2.872760
#52 3.048609
#53 3.184769
#54 3.288662
#55 3.411585
#56 3.567590
#57 3.724384
#58 3.854004
#59 3.979171
#60 4.140154
#61 4.339223
#62 4.545059
#63 4.737555
#64 4.916088
#65 5.086062
#66 5.258833
#67 5.432980
#68 5.587118
#69 5.713267
#70 5.827569
#71 5.948422
#72 6.083739
#73 6.232695
#74 6.394041
#75 6.570091
#76 6.765096
#77 6.979974
#78 7.210501
#79 7.445782
#80 7.675779
#81 7.893906
#82 8.097565
#83 8.299755
#84 8.523196
#85 8.779054
#86 9.062202
#87 9.372742
#88 9.737217
#89 10.153751
