#Coor Free
-88.014286 7.006546
-86.042857 6.660540
-84.071429 6.356856
-82.100000 6.134340
-80.128571 5.977490
-78.157143 5.901910
-76.185714 5.781909
-74.214286 5.396476
-72.242857 4.894724
-70.271429 4.408303
-68.300000 3.975753
-66.328571 3.634528
-64.357143 3.339073
-62.385714 3.103355
-60.414286 2.872965
-58.442857 2.597898
-56.471429 2.364323
-54.500000 2.240783
-52.528571 2.153064
-50.557143 1.978326
-48.585714 1.783044
-46.614286 1.626257
-44.642857 1.454942
-42.671429 1.271211
-40.700000 1.051597
-38.728571 0.745518
-36.757143 0.475643
-34.785714 0.337568
-32.814286 0.260423
-30.842857 0.178139
-28.871429 0.112699
-26.900000 0.054229
-24.928571 0.016649
-22.957143 0.000000
-20.985714 0.015575
-19.014286 0.039898
-17.042857 0.081687
-15.071429 0.151788
-13.100000 0.238310
-11.128571 0.297639
-9.157143 0.339039
-7.185714 0.419447
-5.214286 0.523238
-3.242857 0.594830
-1.271429 0.638555
0.700000 0.676914
2.671429 0.688623
4.642857 0.687224
6.614286 0.737324
8.585714 0.754446
10.557143 0.788682
12.528571 0.870308
14.500000 0.993328
16.471429 1.086137
18.442857 1.109901
20.414286 1.176024
22.385714 1.335596
24.357143 1.560675
26.328571 1.802387
28.300000 2.066186
30.271429 2.314437
32.242857 2.400272
34.214286 2.474701
36.185714 2.787538
38.157143 3.256105
40.128571 3.623369
42.100000 3.907466
44.071429 4.237686
46.042857 4.679082
48.014286 5.220963
#Window Free
#0 0.000000
#1 -0.071388
#2 -0.153126
#3 -0.227547
#4 -0.291386
#5 -0.356882
#6 -0.426801
#7 -0.488740
#8 -0.533154
#9 -0.559275
#10 -0.566694
#11 -0.552595
#12 -0.517033
#13 -0.463694
#14 -0.396631
#15 -0.316436
#16 -0.213000
#17 -0.062322
#18 0.151034
#19 0.404874
#20 0.649441
#21 0.858053
#22 1.040970
#23 1.216253
#24 1.390220
#25 1.548794
#26 1.688746
#27 1.844881
#28 2.047413
#29 2.286804
#30 2.536786
#31 2.795983
#32 3.085580
#33 3.423536
#34 3.818552
#35 4.263918
#36 4.719292
#37 5.092773
#38 5.317969
#39 5.468211
#40 5.639971
#41 5.871212
#42 6.185995
#43 6.649319
#44 0.051424
#45 0.084327
#46 0.104538
#47 0.124639
#48 0.152213
#49 0.187253
#50 0.239452
#51 0.317924
#52 0.410004
#53 0.490301
#54 0.561386
#55 0.659333
#56 0.810668
#57 1.013174
#58 1.248086
#59 1.488496
#60 1.693498
#61 1.850908
#62 2.028258
#63 2.295912
#64 2.650650
#65 3.026386
#66 3.377564
#67 3.736487
#68 4.163035
#69 4.723593
