#Coor Free
-128.021978 10.649973
-126.065934 10.016750
-124.109890 9.535753
-122.153846 9.136980
-120.197802 8.770503
-118.241758 8.280641
-116.285714 7.624830
-114.329670 6.950029
-112.373626 6.341724
-110.417582 5.756735
-108.461538 5.151969
-106.505495 4.622393
-104.549451 4.143745
-102.593407 3.652470
-100.637363 3.191662
-98.681319 2.860490
-96.725275 2.570418
-94.769231 2.265633
-92.813187 1.906492
-90.857143 1.495112
-88.901099 1.196820
-86.945055 1.023132
-84.989011 0.830941
-83.032967 0.581776
-81.076923 0.342289
-79.120879 0.212479
-77.164835 0.118796
-75.208791 0.061540
-73.252747 0.036436
-71.296703 0.017582
-69.340659 0.000000
-67.384615 0.071027
-65.428571 0.177528
-63.472527 0.306686
-61.516484 0.455023
-59.560440 0.582602
-57.604396 0.704039
-55.648352 0.858202
-53.692308 1.043651
-51.736264 1.210012
-49.780220 1.345337
-47.824176 1.570912
-45.868132 1.811419
-43.912088 2.017090
-41.956044 2.168990
-40.000000 2.308001
-38.043956 2.479247
-36.087912 2.659826
-34.131868 2.747457
-32.175824 2.763285
-30.219780 2.817288
-28.263736 2.965997
-26.307692 3.211497
-24.351648 3.389912
-22.395604 3.432773
-20.439560 3.500591
-18.483516 3.654876
-16.527473 3.869488
-14.571429 4.010142
-12.615385 4.090009
-10.659341 4.186403
-8.703297 4.403406
-6.747253 4.642542
-4.791209 4.821427
-2.835165 5.010528
-0.879121 5.170604
1.076923 5.328788
3.032967 5.505536
4.989011 5.702857
6.945055 5.830735
8.901099 5.940957
10.857143 6.041188
12.813187 6.155703
14.769231 6.301470
16.725275 6.446808
18.681319 6.602817
20.637363 6.767622
22.593407 6.973802
24.549451 7.185296
26.505495 7.431008
28.461538 7.660448
30.417582 7.886587
32.373626 8.106410
34.329670 8.290318
36.285714 8.464118
38.241758 8.681352
40.197802 8.946978
42.153846 9.233550
44.109890 9.518846
46.065934 9.853222
48.021978 10.314608
#Window Free
#0 0.000000
#1 0.134724
#2 0.320460
#3 0.539798
#4 0.760544
#5 0.983528
#6 1.247498
#7 1.573354
#8 1.932355
#9 2.278727
#10 2.606239
#11 2.949416
#12 3.343932
#13 3.795686
#14 4.285291
#15 4.803063
#16 5.356817
#17 5.945179
#18 6.556965
#19 7.190735
#20 7.832266
#21 8.421614
#22 8.911844
#23 9.353210
#24 9.823310
#25 10.246583
#26 -0.090136
#27 -0.146674
#28 -0.179252
#29 -0.192039
#30 -0.174663
#31 -0.114572
#32 -0.015377
#33 0.109466
#34 0.245350
#35 0.381824
#36 0.522717
#37 0.678596
#38 0.847184
#39 1.018014
#40 1.198275
#41 1.403117
#42 1.620416
#43 1.820268
#44 1.992723
#45 2.154181
#46 2.312621
#47 2.444022
#48 2.528890
#49 2.599452
#50 2.706396
#51 2.865894
#52 3.040931
#53 3.175894
#54 3.277836
#55 3.398607
#56 3.554266
#57 3.712394
#58 3.843563
#59 3.969799
#60 4.131175
#61 4.330886
#62 4.537886
#63 4.730744
#64 4.909217
#65 5.080849
#66 5.255144
#67 5.428348
#68 5.581563
#69 5.708611
#70 5.824194
#71 5.945792
#72 6.081812
#73 6.230516
#74 6.390241
#75 6.565445
#76 6.761532
#77 6.978122
#78 7.209389
#79 7.444816
#80 7.674628
#81 7.891808
#82 8.094238
#83 8.295988
#84 8.519628
#85 8.775100
#86 9.057580
#87 9.367773
#88 9.732368
#89 10.149372
