#Coor Free
-129.010989 9.580070
-127.032967 9.031512
-125.054945 8.561748
-123.076923 8.124488
-121.098901 7.591985
-119.120879 6.995091
-117.142857 6.453704
-115.164835 5.936023
-113.186813 5.413158
-111.208791 4.943707
-109.230769 4.506175
-107.252747 4.059903
-105.274725 3.586336
-103.296703 3.087962
-101.318681 2.633783
-99.340659 2.275691
-97.362637 1.984205
-95.384615 1.719994
-93.406593 1.444243
-91.428571 1.194150
-89.450549 0.988569
-87.472527 0.806979
-85.494505 0.693181
-83.516484 0.637942
-81.538462 0.608275
-79.560440 0.612078
-77.582418 0.573709
-75.604396 0.404543
-73.626374 0.245263
-71.648352 0.137174
-69.670330 0.023374
-67.692308 0.000000
-65.714286 0.085482
-63.736264 0.177644
-61.758242 0.254745
-59.780220 0.324571
-57.802198 0.362956
-55.824176 0.410917
-53.846154 0.487121
-51.868132 0.609503
-49.890110 0.716571
-47.912088 0.714223
-45.934066 0.653707
-43.956044 0.617512
-41.978022 0.596122
-40.000000 0.560783
-38.021978 0.533951
-36.043956 0.556418
-34.065934 0.613058
-32.087912 0.638534
-30.109890 0.608486
-28.131868 0.575463
-26.153846 0.564197
-24.175824 0.580103
-22.197802 0.619503
-20.219780 0.671973
-18.241758 0.732022
-16.263736 0.801136
-14.285714 0.886215
-12.307692 0.987256
-10.329670 1.111259
-8.351648 1.256380
-6.373626 1.407484
-4.395604 1.580968
-2.417582 1.790714
-0.439560 2.017940
1.538462 2.219830
3.516484 2.406494
5.494505 2.643989
7.472527 2.906386
9.450549 3.130206
11.428571 3.339920
13.406593 3.608881
15.384615 3.911906
17.362637 4.178285
19.340659 4.454401
21.318681 4.732997
23.296703 4.981173
25.274725 5.237766
27.252747 5.523223
29.230769 5.832614
31.208791 6.172733
33.186813 6.501269
35.164835 6.813212
37.142857 7.135803
39.120879 7.475064
41.098901 7.839596
43.076923 8.230033
45.054945 8.556766
47.032967 8.838758
49.010989 9.173673
#Window Free
#0 0.000000
#1 -0.211572
#2 -0.422185
#3 -0.633349
#4 -0.831513
#5 -1.007867
#6 -1.164433
#7 -1.304442
#8 -1.426746
#9 -1.530318
#10 -1.616904
#11 -1.689475
#12 -1.750717
#13 -1.800776
#14 -1.836015
#15 -1.851510
#16 -1.846200
#17 -1.828560
#18 -1.818606
#19 -1.832672
#20 -1.859919
#21 -1.873912
#22 -1.863737
#23 -1.838480
#24 -1.807633
#25 -1.773177
#26 -1.750350
#27 -1.773397
#28 -1.849081
#29 -1.939926
#30 -2.014775
#31 -2.072772
#32 -2.129680
#33 -2.197907
#34 -2.276014
#35 -2.347558
#36 -2.382300
#37 -2.357017
#38 -2.275938
#39 -2.158375
#40 -2.023237
#41 -1.905451
#42 -1.838855
#43 -1.805706
#44 -1.764930
#45 -1.691369
#46 -1.572636
#47 -1.407197
#48 -1.201869
#49 -0.963878
#50 -0.702216
#51 -0.424174
#52 -0.121449
#53 0.226395
#54 0.632547
#55 1.088000
#56 1.563318
#57 2.031824
#58 2.491551
#59 2.960284
#60 3.453679
#61 3.971930
#62 4.510401
#63 5.065484
#64 5.613566
#65 6.120160
#66 6.541136
#67 6.675760
#68 0.226084
#69 0.465464
#70 0.703336
#71 0.941688
#72 1.198368
#73 1.475274
#74 1.756909
#75 2.034989
#76 2.308036
#77 2.574600
#78 2.843135
#79 3.127329
#80 3.433494
#81 3.757400
#82 4.086712
#83 4.413463
#84 4.742881
#85 5.084805
#86 5.442932
#87 5.805794
#88 6.150080
#89 6.464674
#90 6.675760
