#Coor Free
-129.010989 10.934499
-127.032967 10.201319
-125.054945 9.475197
-123.076923 8.795696
-121.098901 8.186438
-119.120879 7.603933
-117.142857 7.053582
-115.164835 6.576798
-113.186813 6.123447
-111.208791 5.658856
-109.230769 5.201236
-107.252747 4.813854
-105.274725 4.557736
-103.296703 4.314948
-101.318681 3.995936
-99.340659 3.642009
-97.362637 3.259090
-95.384615 2.912714
-93.406593 2.599659
-91.428571 2.291065
-89.450549 1.936940
-87.472527 1.588673
-85.494505 1.345979
-83.516484 1.227356
-81.538462 1.090726
-79.560440 0.783347
-77.582418 0.401121
-75.604396 0.123980
-73.626374 0.006835
-71.648352 0.000000
-69.670330 0.088735
-67.692308 0.234479
-65.714286 0.335988
-63.736264 0.337014
-61.758242 0.346622
-59.780220 0.400647
-57.802198 0.542613
-55.824176 0.740955
-53.846154 0.889522
-51.868132 1.066130
-49.890110 1.238410
-47.912088 1.452986
-45.934066 1.703378
-43.956044 1.934042
-41.978022 2.126042
-40.000000 2.318863
-38.021978 2.523478
-36.043956 2.763655
-34.065934 3.028340
-32.087912 3.305150
-30.109890 3.577527
-28.131868 3.792707
-26.153846 3.914602
-24.175824 3.985449
-22.197802 4.067908
-20.219780 4.209735
-18.241758 4.395467
-16.263736 4.619550
-14.285714 4.884369
-12.307692 5.155265
-10.329670 5.377526
-8.351648 5.522408
-6.373626 5.696064
-4.395604 5.914787
-2.417582 6.183053
-0.439560 6.477542
1.538462 6.763508
3.516484 7.031120
5.494505 7.219103
7.472527 7.417880
9.450549 7.652021
11.428571 7.886109
13.406593 8.138008
15.384615 8.336706
17.362637 8.432480
19.340659 8.433801
21.318681 8.362018
23.296703 8.258559
25.274725 8.275216
27.252747 8.414142
29.230769 8.621666
31.208791 8.899421
33.186813 9.161963
35.164835 9.368091
37.142857 9.530170
39.120879 9.658335
41.098901 9.802286
43.076923 9.938610
45.054945 10.083198
47.032967 10.258470
49.010989 10.481449
#Window Free
#0 0.000000
#1 0.286213
#2 0.504701
#3 0.691436
#4 0.918617
#5 1.209124
#6 1.537560
#7 1.869526
#8 2.198788
#9 2.540108
#10 2.897384
#11 3.251595
#12 3.576427
#13 3.868875
#14 4.166513
#15 4.514678
#16 4.924064
#17 5.373131
#18 5.839298
#19 6.322612
#20 6.838789
#21 7.396127
#22 7.992526
#23 8.627459
#24 9.266088
#25 9.660873
#26 -0.291651
#27 -0.514409
#28 -0.639539
#29 -0.670285
#30 -0.623546
#31 -0.530733
#32 -0.441207
#33 -0.388763
#34 -0.353419
#35 -0.292864
#36 -0.183670
#37 -0.032302
#38 0.135995
#39 0.308259
#40 0.490407
#41 0.692263
#42 0.915325
#43 1.143916
#44 1.360006
#45 1.565096
#46 1.775014
#47 2.003472
#48 2.254187
#49 2.519464
#50 2.779531
#51 3.001567
#52 3.160183
#53 3.270420
#54 3.375761
#55 3.509921
#56 3.684075
#57 3.896382
#58 4.138241
#59 4.388511
#60 4.616073
#61 4.810323
#62 4.998652
#63 5.212364
#64 5.461351
#65 5.736507
#66 6.016836
#67 6.277695
#68 6.507448
#69 6.723192
#70 6.946894
#71 7.180223
#72 7.404667
#73 7.580073
#74 7.665810
#75 7.661649
#76 7.615109
#77 7.593447
#78 7.642955
#79 7.773264
#80 7.971243
#81 8.211079
#82 8.453873
#83 8.664780
#84 8.836342
#85 8.984406
#86 9.126634
#87 9.272916
#88 9.434135
#89 9.611020
#90 9.660873
