#Coor Free
-129.010989 7.289710
-127.032967 6.712016
-125.054945 6.343065
-123.076923 6.085108
-121.098901 5.775034
-119.120879 5.306461
-117.142857 4.808530
-115.164835 4.343727
-113.186813 3.910046
-111.208791 3.503735
-109.230769 3.241964
-107.252747 3.066988
-105.274725 2.854985
-103.296703 2.642868
-101.318681 2.373963
-99.340659 2.052004
-97.362637 1.764197
-95.384615 1.486200
-93.406593 1.189598
-91.428571 0.927627
-89.450549 0.710546
-87.472527 0.536157
-85.494505 0.444309
-83.516484 0.422596
-81.538462 0.428250
-79.560440 0.297334
-77.582418 0.054643
-75.604396 0.000000
-73.626374 0.088335
-71.648352 0.188604
-69.670330 0.292572
-67.692308 0.437693
-65.714286 0.621852
-63.736264 0.782894
-61.758242 0.863492
-59.780220 0.895797
-57.802198 0.895016
-55.824176 0.877916
-53.846154 0.864373
-51.868132 0.856489
-49.890110 0.853722
-47.912088 0.858048
-45.934066 0.889033
-43.956044 0.940145
-41.978022 0.977215
-40.000000 1.002115
-38.021978 1.033446
-36.043956 1.080783
-34.065934 1.111420
-32.087912 1.180088
-30.109890 1.287579
-28.131868 1.398937
-26.153846 1.517964
-24.175824 1.665888
-22.197802 1.816191
-20.219780 1.950595
-18.241758 2.085994
-16.263736 2.190407
-14.285714 2.289134
-12.307692 2.392220
-10.329670 2.495442
-8.351648 2.613857
-6.373626 2.747966
-4.395604 2.850157
-2.417582 2.924906
-0.439560 3.061497
1.538462 3.160167
3.516484 3.235167
5.494505 3.305870
7.472527 3.413397
9.450549 3.541865
11.428571 3.668660
13.406593 3.804233
15.384615 3.993253
17.362637 4.201351
19.340659 4.351503
21.318681 4.462408
23.296703 4.612513
25.274725 4.841395
27.252747 5.087458
29.230769 5.298891
31.208791 5.477771
33.186813 5.658556
35.164835 5.826835
37.142857 5.974732
39.120879 6.110002
41.098901 6.260635
43.076923 6.411213
45.054945 6.573603
47.032967 6.791522
49.010989 7.084932
#Window Free
#0 0.000000
#1 0.110020
#2 0.169884
#3 0.227970
#4 0.330318
#5 0.489090
#6 0.698005
#7 0.946762
#8 1.222192
#9 1.509549
#10 1.803149
#11 2.097382
#12 2.371212
#13 2.610501
#14 2.827282
#15 3.052055
#16 3.325621
#17 3.671761
#18 4.081027
#19 4.530883
#20 4.999681
#21 5.447839
#22 5.829801
#23 6.165290
#24 6.493458
#25 6.684682
#26 -0.126761
#27 -0.193040
#28 -0.174455
#29 -0.097068
#30 0.010778
#31 0.142902
#32 0.295554
#33 0.443628
#34 0.551144
#35 0.605066
#36 0.619167
#37 0.613238
#38 0.602460
#39 0.594764
#40 0.593909
#41 0.604521
#42 0.630488
#43 0.667419
#44 0.704620
#45 0.738091
#46 0.772768
#47 0.812658
#48 0.861917
#49 0.930563
#50 1.023005
#51 1.133297
#52 1.257256
#53 1.394197
#54 1.537524
#55 1.677194
#56 1.806416
#57 1.922093
#58 2.028385
#59 2.133278
#60 2.242721
#61 2.359273
#62 2.476714
#63 2.585038
#64 2.688668
#65 2.794973
#66 2.894311
#67 2.981907
#68 3.071296
#69 3.176289
#70 3.297539
#71 3.431520
#72 3.583280
#73 3.756608
#74 3.934945
#75 4.094932
#76 4.243636
#77 4.412566
#78 4.616723
#79 4.839173
#80 5.052385
#81 5.246140
#82 5.425106
#83 5.591044
#84 5.744367
#85 5.892057
#86 6.043019
#87 6.204885
#88 6.389558
#89 6.590925
#90 6.684682
