#Coor Free
-129.010989 11.678965
-127.032967 10.562608
-125.054945 9.486434
-123.076923 8.529255
-121.098901 7.715050
-119.120879 6.949461
-117.142857 6.198360
-115.164835 5.508566
-113.186813 4.827685
-111.208791 4.208361
-109.230769 3.688913
-107.252747 3.285715
-105.274725 2.977509
-103.296703 2.686319
-101.318681 2.365237
-99.340659 2.135270
-97.362637 1.976660
-95.384615 1.729252
-93.406593 1.453882
-91.428571 1.259648
-89.450549 1.141800
-87.472527 1.045916
-85.494505 0.913908
-83.516484 0.842373
-81.538462 0.848153
-79.560440 0.714672
-77.582418 0.326444
-75.604396 0.053407
-73.626374 0.000000
-71.648352 0.042256
-69.670330 0.090253
-67.692308 0.157294
-65.714286 0.220142
-63.736264 0.316148
-61.758242 0.420779
-59.780220 0.546956
-57.802198 0.663055
-55.824176 0.822935
-53.846154 1.017933
-51.868132 1.222788
-49.890110 1.454809
-47.912088 1.668739
-45.934066 1.773755
-43.956044 1.764487
-41.978022 1.760394
-40.000000 1.797128
-38.021978 1.870565
-36.043956 1.976096
-34.065934 2.080389
-32.087912 2.130606
-30.109890 2.151927
-28.131868 2.164393
-26.153846 2.217335
-24.175824 2.333739
-22.197802 2.515656
-20.219780 2.764393
-18.241758 3.014241
-16.263736 3.233227
-14.285714 3.436980
-12.307692 3.623842
-10.329670 3.856778
-8.351648 4.066071
-6.373626 4.229278
-4.395604 4.363631
-2.417582 4.465877
-0.439560 4.604002
1.538462 4.836982
3.516484 5.136918
5.494505 5.451236
7.472527 5.777544
9.450549 6.087214
11.428571 6.392462
13.406593 6.678600
15.384615 6.996425
17.362637 7.381185
19.340659 7.771598
21.318681 8.019380
23.296703 8.243961
25.274725 8.458586
27.252747 8.615970
29.230769 8.672367
31.208791 8.725271
33.186813 8.781980
35.164835 8.875382
37.142857 9.014173
39.120879 9.140885
41.098901 9.328916
43.076923 9.636511
45.054945 10.029662
47.032967 10.408193
49.010989 10.697651
#Window Free
#0 0.000000
#1 0.181656
#2 0.274809
#3 0.355540
#4 0.457015
#5 0.574338
#6 0.718010
#7 0.906657
#8 1.133996
#9 1.365679
#10 1.586171
#11 1.824184
#12 2.100035
#13 2.403657
#14 2.735105
#15 3.119872
#16 3.581709
#17 4.126503
#18 4.743737
#19 5.414100
#20 6.123148
#21 6.867612
#22 7.650529
#23 8.486448
#24 9.368751
#25 9.965806
#26 -0.245703
#27 -0.442665
#28 -0.538185
#29 -0.548321
#30 -0.511375
#31 -0.453613
#32 -0.382916
#33 -0.297300
#34 -0.195438
#35 -0.079777
#36 0.049242
#37 0.198678
#38 0.374679
#39 0.573651
#40 0.784100
#41 0.976891
#42 1.105088
#43 1.157149
#44 1.179290
#45 1.216066
#46 1.281428
#47 1.367659
#48 1.452387
#49 1.513239
#50 1.550487
#51 1.587165
#52 1.651513
#53 1.763026
#54 1.928287
#55 2.139560
#56 2.373339
#57 2.602891
#58 2.817856
#59 3.026048
#60 3.236449
#61 3.438956
#62 3.614332
#63 3.759753
#64 3.895283
#65 4.055658
#66 4.267791
#67 4.533493
#68 4.835073
#69 5.151856
#70 5.468767
#71 5.779039
#72 6.087500
#73 6.410831
#74 6.759427
#75 7.108682
#76 7.411648
#77 7.656912
#78 7.854862
#79 7.996237
#80 8.084262
#81 8.151561
#82 8.228929
#83 8.331411
#84 8.460595
#85 8.621837
#86 8.836508
#87 9.121126
#88 9.463905
#89 9.820763
#90 9.965806
