#Coor Free
-129.010989 11.721251
-127.032967 10.690519
-125.054945 9.755593
-123.076923 8.905907
-121.098901 8.115354
-119.120879 7.415842
-117.142857 6.778332
-115.164835 6.053483
-113.186813 5.331321
-111.208791 4.709144
-109.230769 4.181202
-107.252747 3.757174
-105.274725 3.396947
-103.296703 2.997945
-101.318681 2.617667
-99.340659 2.273509
-97.362637 1.974291
-95.384615 1.714528
-93.406593 1.466784
-91.428571 1.218516
-89.450549 1.014060
-87.472527 0.856736
-85.494505 0.714160
-83.516484 0.587376
-81.538462 0.509889
-79.560440 0.364045
-77.582418 0.102338
-75.604396 0.000000
-73.626374 0.024793
-71.648352 0.053129
-69.670330 0.051666
-67.692308 0.056316
-65.714286 0.072254
-63.736264 0.074675
-61.758242 0.127607
-59.780220 0.191067
-57.802198 0.269535
-55.824176 0.374801
-53.846154 0.491605
-51.868132 0.576180
-49.890110 0.645988
-47.912088 0.766565
-45.934066 0.925809
-43.956044 1.094235
-41.978022 1.230899
-40.000000 1.401259
-38.021978 1.647191
-36.043956 1.924276
-34.065934 2.161984
-32.087912 2.381914
-30.109890 2.612742
-28.131868 2.845611
-26.153846 3.063516
-24.175824 3.238000
-22.197802 3.382520
-20.219780 3.540223
-18.241758 3.750708
-16.263736 3.938586
-14.285714 4.125210
-12.307692 4.361662
-10.329670 4.655888
-8.351648 4.919267
-6.373626 5.123683
-4.395604 5.246852
-2.417582 5.291879
-0.439560 5.371776
1.538462 5.486532
3.516484 5.605802
5.494505 5.720695
7.472527 5.816227
9.450549 5.920600
11.428571 6.100148
13.406593 6.251840
15.384615 6.385137
17.362637 6.532133
19.340659 6.722121
21.318681 6.938080
23.296703 7.153307
25.274725 7.386071
27.252747 7.583981
29.230769 7.701309
31.208791 7.859036
33.186813 8.069106
35.164835 8.345449
37.142857 8.673506
39.120879 9.034241
41.098901 9.371903
43.076923 9.684324
45.054945 10.040732
47.032967 10.497503
49.010989 10.985907
#Window Free
#0 0.000000
#1 0.155735
#2 0.283105
#3 0.408865
#4 0.552734
#5 0.721497
#6 0.921460
#7 1.151238
#8 1.401647
#9 1.670622
#10 1.966764
#11 2.297312
#12 2.659842
#13 3.042385
#14 3.436646
#15 3.859001
#16 4.339637
#17 4.896151
#18 5.527902
#19 6.213647
#20 6.914456
#21 7.613690
#22 8.339340
#23 9.119397
#24 9.928778
#25 10.419085
#26 -0.159111
#27 -0.262821
#28 -0.296334
#29 -0.291571
#30 -0.281583
#31 -0.273568
#32 -0.262577
#33 -0.242239
#34 -0.203708
#35 -0.144452
#36 -0.066796
#37 0.027101
#38 0.128405
#39 0.224648
#40 0.319298
#41 0.431404
#42 0.569824
#43 0.724352
#44 0.884918
#45 1.062409
#46 1.274798
#47 1.518182
#48 1.767595
#49 2.006398
#50 2.238210
#51 2.466635
#52 2.682644
#53 2.874081
#54 3.044512
#55 3.214778
#56 3.399355
#57 3.594322
#58 3.799376
#59 4.028152
#60 4.282938
#61 4.535848
#62 4.744158
#63 4.884919
#64 4.978670
#65 5.067618
#66 5.171588
#67 5.284732
#68 5.396678
#69 5.508568
#70 5.634793
#71 5.781026
#72 5.932923
#73 6.083357
#74 6.244766
#75 6.429229
#76 6.635052
#77 6.851889
#78 7.064408
#79 7.252500
#80 7.418047
#81 7.594381
#82 7.810610
#83 8.076390
#84 8.386565
#85 8.723792
#86 9.066302
#87 9.410346
#88 9.779112
#89 10.183973
#90 10.419085
