#Coor Free
-129.010989 11.944734
-127.032967 11.381243
-125.054945 10.920462
-123.076923 10.515874
-121.098901 9.960775
-119.120879 9.276234
-117.142857 8.601303
-115.164835 7.951354
-113.186813 7.305618
-111.208791 6.613963
-109.230769 5.990991
-107.252747 5.475058
-105.274725 4.984198
-103.296703 4.447411
-101.318681 3.999608
-99.340659 3.604264
-97.362637 3.200712
-95.384615 2.802943
-93.406593 2.381423
-91.428571 1.990584
-89.450549 1.702959
-87.472527 1.479220
-85.494505 1.290031
-83.516484 1.123829
-81.538462 0.990111
-79.560440 0.787687
-77.582418 0.444703
-75.604396 0.189993
-73.626374 0.086951
-71.648352 0.050751
-69.670330 0.000737
-67.692308 0.000000
-65.714286 0.086316
-63.736264 0.249112
-61.758242 0.517439
-59.780220 0.796664
-57.802198 1.067740
-55.824176 1.328783
-53.846154 1.556841
-51.868132 1.773984
-49.890110 1.935360
-47.912088 2.093359
-45.934066 2.260585
-43.956044 2.479547
-41.978022 2.731445
-40.000000 2.976704
-38.021978 3.279230
-36.043956 3.591396
-34.065934 3.857787
-32.087912 4.028932
-30.109890 4.176428
-28.131868 4.344312
-26.153846 4.542381
-24.175824 4.718128
-22.197802 4.872587
-20.219780 5.015499
-18.241758 5.145833
-16.263736 5.254861
-14.285714 5.362337
-12.307692 5.514981
-10.329670 5.714818
-8.351648 5.944957
-6.373626 6.146917
-4.395604 6.371463
-2.417582 6.601483
-0.439560 6.845281
1.538462 7.066862
3.516484 7.220264
5.494505 7.344930
7.472527 7.542547
9.450549 7.817192
11.428571 8.093890
13.406593 8.384646
15.384615 8.649149
17.362637 8.921430
19.340659 9.179525
21.318681 9.368499
23.296703 9.498874
25.274725 9.580180
27.252747 9.646276
29.230769 9.712887
31.208791 9.810704
33.186813 9.962368
35.164835 10.111364
37.142857 10.257989
39.120879 10.447891
41.098901 10.635153
43.076923 10.847023
45.054945 11.086435
47.032967 11.367381
49.010989 11.705835
#Window Free
#0 0.000000
#1 0.233751
#2 0.420835
#3 0.595453
#4 0.789704
#5 1.020392
#6 1.302653
#7 1.644275
#8 2.032065
#9 2.438497
#10 2.846971
#11 3.261684
#12 3.700729
#13 4.177894
#14 4.684438
#15 5.211915
#16 5.778270
#17 6.398099
#18 7.054381
#19 7.719193
#20 8.385536
#21 9.048167
#22 9.666435
#23 10.195979
#24 10.633113
#25 10.842127
#26 -0.252977
#27 -0.458183
#28 -0.587592
#29 -0.658167
#30 -0.691659
#31 -0.684198
#32 -0.618380
#33 -0.483768
#34 -0.281937
#35 -0.031376
#36 0.238144
#37 0.503245
#38 0.750640
#39 0.972616
#40 1.166120
#41 1.340814
#42 1.518906
#43 1.720012
#44 1.949666
#45 2.203124
#46 2.478679
#47 2.767707
#48 3.038811
#49 3.260833
#50 3.441667
#51 3.613846
#52 3.792821
#53 3.969945
#54 4.133390
#55 4.280753
#56 4.413335
#57 4.535785
#58 4.663087
#59 4.814831
#60 4.999254
#61 5.207321
#62 5.424356
#63 5.646756
#64 5.876453
#65 6.106766
#66 6.318657
#67 6.498790
#68 6.668193
#69 6.865524
#70 7.106040
#71 7.376386
#72 7.656695
#73 7.933938
#74 8.201006
#75 8.443415
#76 8.637640
#77 8.774939
#78 8.870290
#79 8.949109
#80 9.035668
#81 9.146455
#82 9.282176
#83 9.433094
#84 9.597113
#85 9.777901
#86 9.975896
#87 10.194667
#88 10.440663
#89 10.700924
#90 10.842127
