#Coor Free
-129.010989 10.980710
-127.032967 10.333076
-125.054945 9.780105
-123.076923 9.296889
-121.098901 8.891639
-119.120879 8.549477
-117.142857 8.114113
-115.164835 7.473055
-113.186813 6.781678
-111.208791 6.146753
-109.230769 5.562533
-107.252747 5.052439
-105.274725 4.590607
-103.296703 4.155310
-101.318681 3.807689
-99.340659 3.584138
-97.362637 3.303210
-95.384615 2.893556
-93.406593 2.441645
-91.428571 1.989901
-89.450549 1.666163
-87.472527 1.470373
-85.494505 1.282585
-83.516484 1.118760
-81.538462 1.008255
-79.560440 0.809687
-77.582418 0.435499
-75.604396 0.165297
-73.626374 0.040687
-71.648352 0.026748
-69.670330 0.021057
-67.692308 0.000000
-65.714286 0.030536
-63.736264 0.162377
-61.758242 0.396835
-59.780220 0.638576
-57.802198 0.746261
-55.824176 0.796030
-53.846154 0.905188
-51.868132 1.026606
-49.890110 1.076216
-47.912088 1.128641
-45.934066 1.317163
-43.956044 1.580384
-41.978022 1.924089
-40.000000 2.224716
-38.021978 2.370734
-36.043956 2.416571
-34.065934 2.494298
-32.087912 2.638002
-30.109890 2.804850
-28.131868 3.002234
-26.153846 3.187225
-24.175824 3.353502
-22.197802 3.522215
-20.219780 3.681649
-18.241758 3.832978
-16.263736 3.973399
-14.285714 4.095754
-12.307692 4.194900
-10.329670 4.303853
-8.351648 4.476403
-6.373626 4.645710
-4.395604 4.751931
-2.417582 4.888089
-0.439560 5.104140
1.538462 5.351253
3.516484 5.579887
5.494505 5.808508
7.472527 6.052234
9.450549 6.302346
11.428571 6.518665
13.406593 6.714246
15.384615 6.968100
17.362637 7.182791
19.340659 7.362808
21.318681 7.582619
23.296703 7.810576
25.274725 8.024603
27.252747 8.215986
29.230769 8.425276
31.208791 8.678628
33.186813 8.956149
35.164835 9.187178
37.142857 9.381257
39.120879 9.540866
41.098901 9.703457
43.076923 9.903924
45.054945 10.092180
47.032967 10.329933
49.010989 10.622377
#Window Free
#0 0.000000
#1 0.239150
#2 0.419738
#3 0.586158
#4 0.773682
#5 1.002487
#6 1.298276
#7 1.670230
#8 2.088759
#9 2.494233
#10 2.838222
#11 3.140576
#12 3.467600
#13 3.854910
#14 4.298521
#15 4.789597
#16 5.330437
#17 5.923525
#18 6.558260
#19 7.192720
#20 7.748105
#21 8.198335
#22 8.617544
#23 9.070834
#24 9.536551
#25 9.789917
#26 -0.267830
#27 -0.486181
#28 -0.619338
#29 -0.680047
#30 -0.701159
#31 -0.699379
#32 -0.659284
#33 -0.557162
#34 -0.390963
#35 -0.197663
#36 -0.038092
#37 0.071406
#38 0.166605
#39 0.261413
#40 0.346424
#41 0.442212
#42 0.590884
#43 0.810556
#44 1.085306
#45 1.362691
#46 1.569150
#47 1.691672
#48 1.791279
#49 1.915807
#50 2.072823
#51 2.251177
#52 2.434683
#53 2.611828
#54 2.781216
#55 2.943476
#56 3.096664
#57 3.237514
#58 3.363653
#59 3.481290
#60 3.607999
#61 3.753674
#62 3.904133
#63 4.047962
#64 4.204986
#65 4.397594
#66 4.620885
#67 4.855321
#68 5.091986
#69 5.332195
#70 5.571230
#71 5.799919
#72 6.022322
#73 6.246964
#74 6.465796
#75 6.675527
#76 6.888608
#77 7.107315
#78 7.322314
#79 7.533593
#80 7.755491
#81 7.997907
#82 8.248777
#83 8.481717
#84 8.683020
#85 8.862713
#86 9.041806
#87 9.233914
#88 9.445578
#89 9.672760
#90 9.789917
