#Coor Free
-88.562500 0.393540
-85.687500 0.209358
-82.812500 0.170476
-79.937500 0.178144
-77.062500 0.251098
-74.187500 0.110115
-71.312500 0.000000
-68.437500 0.007953
-65.562500 0.144354
-62.687500 0.295367
-59.812500 0.330594
-56.937500 0.426268
-54.062500 0.542459
-51.187500 0.673055
-48.312500 0.808397
-45.437500 0.908380
-42.562500 1.086538
-39.687500 1.243535
-36.812500 1.286549
-33.937500 1.370914
-31.062500 1.468703
-28.187500 1.561349
-25.312500 1.578199
-22.437500 1.531378
-19.562500 1.552572
-16.687500 1.502771
-13.812500 1.689236
-10.937500 1.799047
-8.062500 1.705517
-5.187500 1.730655
-2.312500 1.785375
0.562500 1.921760
3.437500 2.057700
6.312500 2.038868
9.187500 2.111286
12.062500 2.267594
14.937500 2.555010
17.812500 2.959788
20.687500 3.433630
23.562500 3.752600
#Window Free
#0 0.000000
#1 -0.438975
#2 -0.566775
#3 -0.587779
#4 -0.569738
#5 -0.610128
#6 -0.708079
#7 -0.748153
#8 -0.689263
#9 -0.566618
#10 -0.465385
#11 -0.389767
#12 -0.289623
#13 -0.169371
#14 -0.040298
#15 0.083518
#16 0.219108
#17 0.373383
#18 0.484823
#19 0.559136
#20 0.645546
#21 0.734384
#22 0.787081
#23 0.783760
#24 0.771275
#25 0.768588
#26 0.829072
#27 0.945500
#28 0.972686
#29 0.958555
#30 0.994417
#31 1.082424
#32 1.200470
#33 1.271040
#34 1.315326
#35 1.423042
#36 1.623621
#37 1.930843
#38 2.328675
#39 2.760400
#40 3.323297
