#Coor Free
-88.562500 1.086211
-85.687500 0.831427
-82.812500 0.584075
-79.937500 0.336928
-77.062500 0.220911
-74.187500 0.179731
-71.312500 0.147844
-68.437500 0.046484
-65.562500 0.000000
-62.687500 0.054819
-59.812500 0.110142
-56.937500 0.245311
-54.062500 0.421514
-51.187500 0.568010
-48.312500 0.663599
-45.437500 0.775163
-42.562500 0.988768
-39.687500 1.183390
-36.812500 1.361093
-33.937500 1.621072
-31.062500 1.803843
-28.187500 1.805878
-25.312500 1.753641
-22.437500 1.619749
-19.562500 1.534744
-16.687500 1.519726
-13.812500 1.570218
-10.937500 1.670916
-8.062500 1.803584
-5.187500 1.841825
-2.312500 2.008038
0.562500 2.088280
3.437500 2.111541
6.312500 2.295400
9.187500 2.592696
12.062500 2.765625
14.937500 2.862430
17.812500 2.974003
20.687500 3.060797
23.562500 3.173786
#Window Free
#0 0.000000
#1 -0.494754
#2 -0.767073
#3 -0.997784
#4 -1.158935
#5 -1.240621
#6 -1.288342
#7 -1.352761
#8 -1.411569
#9 -1.411043
#10 -1.359433
#11 -1.266548
#12 -1.124308
#13 -0.968274
#14 -0.839396
#15 -0.725719
#16 -0.574520
#17 -0.381556
#18 -0.188084
#19 0.019738
#20 0.229274
#21 0.336248
#22 0.319776
#23 0.232230
#24 0.137453
#25 0.091776
#26 0.107128
#27 0.176564
#28 0.280542
#29 0.375022
#30 0.474156
#31 0.586513
#32 0.658926
#33 0.763888
#34 0.967298
#35 1.197597
#36 1.354933
#37 1.465716
#38 1.567640
#39 1.703574
#40 2.118344
