#Coor Free
-88.562500 2.807223
-85.687500 2.234810
-82.812500 1.799458
-79.937500 1.429506
-77.062500 1.086391
-74.187500 0.821190
-71.312500 0.534288
-68.437500 0.247387
-65.562500 0.056850
-62.687500 0.005509
-59.812500 0.011488
-56.937500 0.000000
-54.062500 0.001149
-51.187500 0.003752
-48.312500 0.163382
-45.437500 0.434380
-42.562500 0.733611
-39.687500 0.941843
-36.812500 0.962686
-33.937500 1.021933
-31.062500 1.146948
-28.187500 1.189788
-25.312500 1.233800
-22.437500 1.464674
-19.562500 1.800884
-16.687500 2.081255
-13.812500 2.241072
-10.937500 2.360343
-8.062500 2.425779
-5.187500 2.425294
-2.312500 2.459344
0.562500 2.473081
3.437500 2.477781
6.312500 2.556140
9.187500 2.601737
12.062500 2.731256
14.937500 2.898565
17.812500 3.051342
20.687500 3.205823
23.562500 3.385313
#Window Free
#0 0.000000
#1 -0.670173
#2 -1.134374
#3 -1.520453
#4 -1.860877
#5 -2.156455
#6 -2.437827
#7 -2.709275
#8 -2.919522
#9 -3.030652
#10 -3.062776
#11 -3.069205
#12 -3.072644
#13 -3.060659
#14 -2.981220
#15 -2.794306
#16 -2.533334
#17 -2.281542
#18 -2.139242
#19 -2.076969
#20 -1.996034
#21 -1.914614
#22 -1.852195
#23 -1.724243
#24 -1.481069
#25 -1.186096
#26 -0.945189
#27 -0.789784
#28 -0.694057
#29 -0.652349
#30 -0.631689
#31 -0.610764
#32 -0.594527
#33 -0.555926
#34 -0.493922
#35 -0.405563
#36 -0.269498
#37 -0.112776
#38 0.044218
#39 0.237767
#40 0.687735
