#Coor Free
-88.562500 2.254906
-85.687500 1.730605
-82.812500 1.239845
-79.937500 0.887690
-77.062500 0.581008
-74.187500 0.340443
-71.312500 0.149951
-68.437500 0.025475
-65.562500 0.000000
-62.687500 0.017210
-59.812500 0.059996
-56.937500 0.135601
-54.062500 0.161786
-51.187500 0.245324
-48.312500 0.258567
-45.437500 0.353523
-42.562500 0.480192
-39.687500 0.539859
-36.812500 0.485403
-33.937500 0.411292
-31.062500 0.364287
-28.187500 0.324373
-25.312500 0.336449
-22.437500 0.401657
-19.562500 0.481174
-16.687500 0.355389
-13.812500 0.315517
-10.937500 0.336216
-8.062500 0.384906
-5.187500 0.429573
-2.312500 0.515897
0.562500 0.580047
3.437500 0.678930
6.312500 0.886333
9.187500 1.105877
12.062500 1.319521
14.937500 1.541137
17.812500 1.752213
20.687500 2.004936
23.562500 2.176841
#Window Free
#0 0.000000
#1 -0.659871
#2 -1.138663
#3 -1.522256
#4 -1.836669
#5 -2.094882
#6 -2.298766
#7 -2.442823
#8 -2.513798
#9 -2.522776
#10 -2.494682
#11 -2.442157
#12 -2.389087
#13 -2.336289
#14 -2.285278
#15 -2.225814
#16 -2.128727
#17 -2.044178
#18 -2.036769
#19 -2.090366
#20 -2.147658
#21 -2.188251
#22 -2.198369
#23 -2.164494
#24 -2.113120
#25 -2.131795
#26 -2.191512
#27 -2.204075
#28 -2.175145
#29 -2.128188
#30 -2.065303
#31 -1.990655
#32 -1.902640
#33 -1.761393
#34 -1.562824
#35 -1.347407
#36 -1.130442
#37 -0.912166
#38 -0.686959
#39 -0.441786
#40 0.017540
