#Coor Free
-88.562500 2.119065
-85.687500 1.560061
-82.812500 1.140105
-79.937500 0.819512
-77.062500 0.622492
-74.187500 0.547877
-71.312500 0.357076
-68.437500 0.248314
-65.562500 0.165714
-62.687500 0.043690
-59.812500 0.000000
-56.937500 0.028627
-54.062500 0.180406
-51.187500 0.370921
-48.312500 0.459700
-45.437500 0.516489
-42.562500 0.618251
-39.687500 0.767261
-36.812500 0.851158
-33.937500 0.877387
-31.062500 1.052568
-28.187500 1.210938
-25.312500 1.365115
-22.437500 1.566303
-19.562500 1.761060
-16.687500 1.972682
-13.812500 2.192854
-10.937500 2.367520
-8.062500 2.563337
-5.187500 2.820660
-2.312500 3.017741
0.562500 3.223349
3.437500 3.290796
6.312500 3.334540
9.187500 3.357709
12.062500 3.464605
14.937500 3.568517
17.812500 3.627564
20.687500 3.719434
23.562500 3.850387
#Window Free
#0 0.000000
#1 -0.660432
#2 -1.104465
#3 -1.438885
#4 -1.669793
#5 -1.813889
#6 -1.952839
#7 -2.087402
#8 -2.189790
#9 -2.288001
#10 -2.358595
#11 -2.362671
#12 -2.282716
#13 -2.133692
#14 -1.993194
#15 -1.905306
#16 -1.821909
#17 -1.707924
#18 -1.596089
#19 -1.523036
#20 -1.425894
#21 -1.273646
#22 -1.113338
#23 -0.939959
#24 -0.746338
#25 -0.544144
#26 -0.333460
#27 -0.131196
#28 0.060256
#29 0.274338
#30 0.500688
#31 0.701723
#32 0.846671
#33 0.916244
#34 0.958575
#35 1.022206
#36 1.116988
#37 1.202755
#38 1.284426
#39 1.423774
#40 1.846227
