#Coor Free
-129.010989 10.004099
-127.032967 9.230232
-125.054945 8.526440
-123.076923 7.828537
-121.098901 7.153704
-119.120879 6.530985
-117.142857 5.987923
-115.164835 5.503899
-113.186813 5.088960
-111.208791 4.701533
-109.230769 4.308797
-107.252747 3.928257
-105.274725 3.598741
-103.296703 3.326505
-101.318681 3.099495
-99.340659 2.842109
-97.362637 2.628049
-95.384615 2.438200
-93.406593 2.242775
-91.428571 2.007970
-89.450549 1.755357
-87.472527 1.518098
-85.494505 1.301384
-83.516484 1.120540
-81.538462 0.922032
-79.560440 0.651516
-77.582418 0.299512
-75.604396 0.096639
-73.626374 0.059901
-71.648352 0.068969
-69.670330 0.062651
-67.692308 0.034153
-65.714286 0.000000
-63.736264 0.008859
-61.758242 0.072796
-59.780220 0.161049
-57.802198 0.280722
-55.824176 0.389675
-53.846154 0.501426
-51.868132 0.628868
-49.890110 0.759876
-47.912088 0.886255
-45.934066 1.033455
-43.956044 1.224634
-41.978022 1.383457
-40.000000 1.522647
-38.021978 1.632833
-36.043956 1.730457
-34.065934 1.831601
-32.087912 1.947802
-30.109890 2.034393
-28.131868 2.100644
-26.153846 2.230139
-24.175824 2.390965
-22.197802 2.547461
-20.219780 2.691247
-18.241758 2.807040
-16.263736 2.941957
-14.285714 3.115492
-12.307692 3.321276
-10.329670 3.544446
-8.351648 3.718987
-6.373626 3.876903
-4.395604 4.028197
-2.417582 4.205742
-0.439560 4.397139
1.538462 4.640912
3.516484 4.858085
5.494505 5.060389
7.472527 5.289574
9.450549 5.519964
11.428571 5.796623
13.406593 6.107809
15.384615 6.431715
17.362637 6.694967
19.340659 6.886781
21.318681 7.036237
23.296703 7.204540
25.274725 7.368332
27.252747 7.510081
29.230769 7.672856
31.208791 7.807800
33.186813 7.935848
35.164835 8.092960
37.142857 8.264305
39.120879 8.426075
41.098901 8.582637
43.076923 8.754141
45.054945 8.940972
47.032967 9.153196
49.010989 9.441562
#Window Free
#0 0.000000
#1 0.268914
#2 0.504987
#3 0.715391
#4 0.929993
#5 1.160801
#6 1.400253
#7 1.631749
#8 1.846109
#9 2.053890
#10 2.273072
#11 2.509499
#12 2.761186
#13 3.038064
#14 3.354159
#15 3.709844
#16 4.092465
#17 4.491279
#18 4.912165
#19 5.372564
#20 5.886022
#21 6.457769
#22 7.084982
#23 7.753320
#24 8.403932
#25 8.751869
#26 -0.250880
#27 -0.424893
#28 -0.510621
#29 -0.539668
#30 -0.553331
#31 -0.571548
#32 -0.585920
#33 -0.576075
#34 -0.530519
#35 -0.452173
#36 -0.351375
#37 -0.240041
#38 -0.123864
#39 -0.001437
#40 0.127306
#41 0.262630
#42 0.410679
#43 0.573256
#44 0.735888
#45 0.881280
#46 1.005010
#47 1.114201
#48 1.219126
#49 1.321820
#50 1.417427
#51 1.514155
#52 1.631495
#53 1.773059
#54 1.923655
#55 2.067937
#56 2.204880
#57 2.349355
#58 2.516691
#59 2.708307
#60 2.909151
#61 3.098003
#62 3.269255
#63 3.435625
#64 3.612787
#65 3.810119
#66 4.026244
#67 4.247849
#68 4.467799
#69 4.693966
#70 4.936726
#71 5.204819
#72 5.498018
#73 5.796265
#74 6.064007
#75 6.280043
#76 6.458560
#77 6.623927
#78 6.784064
#79 6.938986
#80 7.088855
#81 7.232712
#82 7.377638
#83 7.532811
#84 7.696232
#85 7.861189
#86 8.028745
#87 8.206924
#88 8.406179
#89 8.630667
#90 8.751869
