#Coor Free
-129.010989 11.797298
-127.032967 11.266028
-125.054945 10.734434
-123.076923 10.116232
-121.098901 9.348358
-119.120879 8.542278
-117.142857 7.792059
-115.164835 7.199152
-113.186813 6.707687
-111.208791 6.217617
-109.230769 5.694345
-107.252747 5.200573
-105.274725 4.727879
-103.296703 4.294982
-101.318681 3.875653
-99.340659 3.479703
-97.362637 3.101035
-95.384615 2.745723
-93.406593 2.462822
-91.428571 2.210215
-89.450549 1.978932
-87.472527 1.752446
-85.494505 1.544979
-83.516484 1.330717
-81.538462 1.152713
-79.560440 0.929725
-77.582418 0.519632
-75.604396 0.206901
-73.626374 0.071456
-71.648352 0.034764
-69.670330 0.016265
-67.692308 0.000000
-65.714286 0.005827
-63.736264 0.089739
-61.758242 0.239341
-59.780220 0.441860
-57.802198 0.688067
-55.824176 0.858623
-53.846154 1.029340
-51.868132 1.229016
-49.890110 1.426018
-47.912088 1.580963
-45.934066 1.676154
-43.956044 1.771051
-41.978022 1.866053
-40.000000 1.971613
-38.021978 2.092210
-36.043956 2.223220
-34.065934 2.330874
-32.087912 2.430252
-30.109890 2.576196
-28.131868 2.744575
-26.153846 2.963710
-24.175824 3.209432
-22.197802 3.433263
-20.219780 3.582964
-18.241758 3.699287
-16.263736 3.865634
-14.285714 4.055789
-12.307692 4.264668
-10.329670 4.486905
-8.351648 4.678167
-6.373626 4.869681
-4.395604 5.089852
-2.417582 5.375819
-0.439560 5.663281
1.538462 5.967196
3.516484 6.281583
5.494505 6.656012
7.472527 7.058123
9.450549 7.524162
11.428571 8.059529
13.406593 8.583924
15.384615 8.907837
17.362637 9.122878
19.340659 9.325953
21.318681 9.520902
23.296703 9.680045
25.274725 9.802943
27.252747 9.881466
29.230769 9.986781
31.208791 10.088162
33.186813 10.183895
35.164835 10.306948
37.142857 10.449012
39.120879 10.621550
41.098901 10.792728
43.076923 10.929325
45.054945 11.079918
47.032967 11.287951
49.010989 11.518742
#Window Free
#0 0.000000
#1 0.283176
#2 0.513680
#3 0.724186
#4 0.938972
#5 1.163431
#6 1.400717
#7 1.657561
#8 1.945262
#9 2.272704
#10 2.636774
#11 3.027457
#12 3.439255
#13 3.872162
#14 4.329281
#15 4.811834
#16 5.313673
#17 5.823011
#18 6.341380
#19 6.899191
#20 7.531893
#21 8.245797
#22 9.002589
#23 9.725048
#24 10.315289
#25 10.595633
#26 -0.301709
#27 -0.544678
#28 -0.695929
#29 -0.771672
#30 -0.804719
#31 -0.814129
#32 -0.794034
#33 -0.727405
#34 -0.605693
#35 -0.434163
#36 -0.232202
#37 -0.030038
#38 0.159457
#39 0.347101
#40 0.532345
#41 0.695339
#42 0.823632
#43 0.928952
#44 1.029691
#45 1.136424
#46 1.252291
#47 1.372472
#48 1.489776
#49 1.609395
#50 1.747509
#51 1.915263
#52 2.114790
#53 2.335193
#54 2.548160
#55 2.727712
#56 2.882390
#57 3.043085
#58 3.225573
#59 3.426815
#60 3.635757
#61 3.841811
#62 4.049140
#63 4.275589
#64 4.533124
#65 4.817115
#66 5.119252
#67 5.441780
#68 5.794955
#69 6.187200
#70 6.623866
#71 7.102794
#72 7.587302
#73 7.996392
#74 8.289228
#75 8.510672
#76 8.698936
#77 8.856255
#78 8.980594
#79 9.084686
#80 9.185295
#81 9.288688
#82 9.400022
#83 9.527570
#84 9.674716
#85 9.835257
#86 9.996080
#87 10.155000
#88 10.327872
#89 10.514202
#90 10.595633
