#Coor Free
-129.010989 11.159220
-127.032967 10.568404
-125.054945 10.056081
-123.076923 9.624007
-121.098901 9.226122
-119.120879 8.867088
-117.142857 8.590131
-115.164835 8.298749
-113.186813 7.718351
-111.208791 7.040598
-109.230769 6.398413
-107.252747 5.790808
-105.274725 5.239228
-103.296703 4.760312
-101.318681 4.293293
-99.340659 3.832051
-97.362637 3.405845
-95.384615 3.002332
-93.406593 2.595548
-91.428571 2.248680
-89.450549 1.984214
-87.472527 1.767442
-85.494505 1.579751
-83.516484 1.426182
-81.538462 1.301850
-79.560440 1.085799
-77.582418 0.677948
-75.604396 0.378275
-73.626374 0.272210
-71.648352 0.195739
-69.670330 0.144364
-67.692308 0.107134
-65.714286 0.043164
-63.736264 0.000000
-61.758242 0.042096
-59.780220 0.166172
-57.802198 0.414498
-55.824176 0.632088
-53.846154 0.742027
-51.868132 0.824575
-49.890110 0.971627
-47.912088 1.113846
-45.934066 1.294855
-43.956044 1.453118
-41.978022 1.619344
-40.000000 1.834819
-38.021978 2.033809
-36.043956 2.189755
-34.065934 2.369581
-32.087912 2.524216
-30.109890 2.670032
-28.131868 2.853681
-26.153846 3.060212
-24.175824 3.294474
-22.197802 3.561624
-20.219780 3.855991
-18.241758 4.138170
-16.263736 4.336359
-14.285714 4.469671
-12.307692 4.570557
-10.329670 4.648852
-8.351648 4.739138
-6.373626 4.814680
-4.395604 4.867969
-2.417582 4.939931
-0.439560 4.978334
1.538462 5.055830
3.516484 5.145088
5.494505 5.283377
7.472527 5.429134
9.450549 5.568537
11.428571 5.704176
13.406593 5.917351
15.384615 6.172768
17.362637 6.485521
19.340659 6.787866
21.318681 7.084112
23.296703 7.407737
25.274725 7.712788
27.252747 7.984313
29.230769 8.291142
31.208791 8.555135
33.186813 8.754977
35.164835 9.030636
37.142857 9.406487
39.120879 9.679090
41.098901 9.875217
43.076923 10.075320
45.054945 10.335109
47.032967 10.670539
49.010989 10.981441
#Window Free
#0 0.000000
#1 0.262811
#2 0.456359
#3 0.625692
#4 0.813000
#5 1.033807
#6 1.298831
#7 1.617197
#8 1.985364
#9 2.386960
#10 2.810280
#11 3.254661
#12 3.719225
#13 4.205169
#14 4.724684
#15 5.289956
#16 5.899188
#17 6.531780
#18 7.125076
#19 7.588915
#20 7.944742
#21 8.292843
#22 8.678241
#23 9.105540
#24 9.546086
#25 9.812639
#26 -0.290640
#27 -0.524592
#28 -0.675178
#29 -0.766679
#30 -0.828707
#31 -0.879759
#32 -0.924001
#33 -0.943123
#34 -0.909603
#35 -0.806745
#36 -0.639687
#37 -0.448935
#38 -0.288181
#39 -0.161620
#40 -0.034438
#41 0.110677
#42 0.271006
#43 0.439280
#44 0.615459
#45 0.804656
#46 0.997779
#47 1.180312
#48 1.352114
#49 1.516950
#50 1.681021
#51 1.858479
#52 2.059433
#53 2.286821
#54 2.540673
#55 2.813139
#56 3.078781
#57 3.300584
#58 3.461987
#59 3.577901
#60 3.670985
#61 3.754176
#62 3.828319
#63 3.893873
#64 3.954833
#65 4.017908
#66 4.095252
#67 4.196001
#68 4.320568
#69 4.459650
#70 4.606506
#71 4.771754
#72 4.974491
#73 5.221787
#74 5.505138
#75 5.806798
#76 6.114412
#77 6.424999
#78 6.731347
#79 7.027542
#80 7.313435
#81 7.581079
#82 7.837494
#83 8.114930
#84 8.416541
#85 8.698291
#86 8.938460
#87 9.171290
#88 9.432608
#89 9.703552
#90 9.812639
