#Coor Free
-129.010989 7.924652
-127.032967 7.509014
-125.054945 7.160682
-123.076923 6.828781
-121.098901 6.493996
-119.120879 6.093545
-117.142857 5.729942
-115.164835 5.466629
-113.186813 5.288906
-111.208791 5.110756
-109.230769 4.917490
-107.252747 4.733848
-105.274725 4.596764
-103.296703 4.406095
-101.318681 3.958671
-99.340659 3.566227
-97.362637 3.241579
-95.384615 2.926190
-93.406593 2.584668
-91.428571 2.226333
-89.450549 1.921891
-87.472527 1.654341
-85.494505 1.421633
-83.516484 1.250705
-81.538462 1.154967
-79.560440 0.939924
-77.582418 0.527656
-75.604396 0.210416
-73.626374 0.088372
-71.648352 0.032523
-69.670330 0.009755
-67.692308 0.000000
-65.714286 0.027954
-63.736264 0.061695
-61.758242 0.134159
-59.780220 0.178710
-57.802198 0.239078
-55.824176 0.290391
-53.846154 0.331174
-51.868132 0.384061
-49.890110 0.486081
-47.912088 0.662461
-45.934066 0.831618
-43.956044 0.935956
-41.978022 1.031312
-40.000000 1.121252
-38.021978 1.237146
-36.043956 1.364546
-34.065934 1.496559
-32.087912 1.665380
-30.109890 1.829778
-28.131868 2.014434
-26.153846 2.245356
-24.175824 2.364477
-22.197802 2.421207
-20.219780 2.527772
-18.241758 2.702114
-16.263736 2.839066
-14.285714 2.952434
-12.307692 3.085009
-10.329670 3.176429
-8.351648 3.191963
-6.373626 3.227966
-4.395604 3.279316
-2.417582 3.350029
-0.439560 3.467344
1.538462 3.622047
3.516484 3.770719
5.494505 3.876889
7.472527 3.980922
9.450549 4.081778
11.428571 4.157112
13.406593 4.183868
15.384615 4.227006
17.362637 4.250459
19.340659 4.313246
21.318681 4.429407
23.296703 4.618105
25.274725 4.825533
27.252747 5.004726
29.230769 5.147685
31.208791 5.311014
33.186813 5.521062
35.164835 5.787422
37.142857 6.036633
39.120879 6.260722
41.098901 6.509700
43.076923 6.794367
45.054945 7.106617
47.032967 7.471001
49.010989 7.845774
#Window Free
#0 0.000000
#1 0.261485
#2 0.451797
#3 0.632150
#4 0.848875
#5 1.107647
#6 1.404164
#7 1.731028
#8 2.070300
#9 2.407149
#10 2.750146
#11 3.114081
#12 3.470407
#13 3.747983
#14 3.946694
#15 4.127085
#16 4.312329
#17 4.503606
#18 4.717902
#19 4.982623
#20 5.306597
#21 5.666516
#22 6.026483
#23 6.374279
#24 6.691780
#25 6.831343
#26 -0.297176
#27 -0.539299
#28 -0.691459
#29 -0.771487
#30 -0.807629
#31 -0.815675
#32 -0.800323
#33 -0.764627
#34 -0.714537
#35 -0.659512
#36 -0.604998
#37 -0.552666
#38 -0.500184
#39 -0.434084
#40 -0.335932
#41 -0.201415
#42 -0.053478
#43 0.077113
#44 0.185685
#45 0.288310
#46 0.399245
#47 0.523371
#48 0.661766
#49 0.816175
#50 0.985568
#51 1.168029
#52 1.349222
#53 1.495928
#54 1.606507
#55 1.720245
#56 1.855263
#57 1.994514
#58 2.122788
#59 2.234648
#60 2.316478
#61 2.367522
#62 2.411598
#63 2.469417
#64 2.552079
#65 2.664749
#66 2.799183
#67 2.934176
#68 3.054235
#69 3.159495
#70 3.249172
#71 3.315973
#72 3.362402
#73 3.402393
#74 3.453012
#75 3.534343
#76 3.660188
#77 3.827182
#78 4.012570
#79 4.191003
#80 4.360356
#81 4.541682
#82 4.753209
#83 4.991946
#84 5.238772
#85 5.485242
#86 5.743379
#87 6.026856
#88 6.339562
#89 6.655243
#90 6.831343
