#Coor Free
-129.000000 9.666846
-127.000000 8.938940
-125.000000 8.254946
-123.000000 7.639511
-121.000000 7.063155
-119.000000 6.459476
-117.000000 5.915400
-115.000000 5.501048
-113.000000 5.136678
-111.000000 4.747614
-109.000000 4.391406
-107.000000 4.045577
-105.000000 3.738395
-103.000000 3.432332
-101.000000 3.111900
-99.000000 2.779375
-97.000000 2.441092
-95.000000 2.143341
-93.000000 1.888055
-91.000000 1.623654
-89.000000 1.365273
-87.000000 1.107691
-85.000000 0.916201
-83.000000 0.764149
-81.000000 0.528504
-79.000000 0.290368
-77.000000 0.188071
-75.000000 0.119166
-73.000000 0.079042
-71.000000 0.053546
-69.000000 0.033261
-67.000000 0.000000
-65.000000 0.014652
-63.000000 0.040734
-61.000000 0.052177
-59.000000 0.072185
-57.000000 0.137325
-55.000000 0.224985
-53.000000 0.358287
-51.000000 0.501832
-49.000000 0.621111
-47.000000 0.734610
-45.000000 0.882264
-43.000000 1.029313
-41.000000 1.126933
-39.000000 1.215482
-37.000000 1.293319
-35.000000 1.411523
-33.000000 1.577222
-31.000000 1.772680
-29.000000 1.992588
-27.000000 2.248398
-25.000000 2.513466
-23.000000 2.766777
-21.000000 2.974269
-19.000000 3.093484
-17.000000 3.185293
-15.000000 3.324233
-13.000000 3.519658
-11.000000 3.718678
-9.000000 3.860471
-7.000000 3.960454
-5.000000 4.094564
-3.000000 4.252283
-1.000000 4.440071
1.000000 4.662466
3.000000 4.881664
5.000000 5.012386
7.000000 5.095542
9.000000 5.164680
11.000000 5.289987
13.000000 5.452957
15.000000 5.662312
17.000000 5.927100
19.000000 6.168835
21.000000 6.372931
23.000000 6.535671
25.000000 6.665469
27.000000 6.811664
29.000000 6.942998
31.000000 7.099622
33.000000 7.251435
35.000000 7.468220
37.000000 7.698074
39.000000 7.889822
41.000000 8.115224
43.000000 8.339905
45.000000 8.586138
47.000000 8.900005
49.000000 9.247490
#Window Free
#0 0.000000
#1 -0.325379
#2 -0.915197
#3 -1.516442
#4 -2.096622
#5 -2.639266
#6 -3.120837
#7 -3.542356
#8 -3.929182
#9 -4.299954
#10 -4.654742
#11 -4.990153
#12 -5.309600
#13 -5.624965
#14 -5.946387
#15 -6.272299
#16 -6.589284
#17 -6.883777
#18 -7.156791
#19 -7.419057
#20 -7.673273
#21 -7.909009
#22 -8.117254
#23 -8.312534
#24 -8.515071
#25 -8.705725
#26 -8.849386
#27 -8.941707
#28 -8.999080
#29 -9.036119
#30 -9.062845
#31 -9.082175
#32 -9.087714
#33 -9.077533
#34 -9.059450
#35 -9.033972
#36 -8.989848
#37 -8.917984
#38 -8.817182
#39 -8.694682
#40 -8.565907
#41 -8.439856
#42 -8.310982
#43 -8.177548
#44 -8.053468
#45 -7.948751
#46 -7.854323
#47 -7.750297
#48 -7.618761
#49 -7.453640
#50 -7.257892
#51 -7.035251
#52 -6.791353
#53 -6.540752
#54 -6.308475
#55 -6.121390
#56 -5.980783
#57 -5.852019
#58 -5.701849
#59 -5.529132
#60 -5.360222
#61 -5.216243
#62 -5.085978
#63 -4.944901
#64 -4.780480
#65 -4.591809
#66 -4.391879
#67 -4.212350
#68 -4.078675
#69 -3.977866
#70 -3.874054
#71 -3.740755
#72 -3.568843
#73 -3.359241
#74 -3.126293
#75 -2.898646
#76 -2.700042
#77 -2.534254
#78 -2.388162
#79 -2.247057
#80 -2.102393
#81 -1.946592
#82 -1.770458
#83 -1.570560
#84 -1.358994
#85 -1.145659
#86 -0.925570
#87 -0.690482
#88 -0.429398
#89 -0.147135
#90 0.000000
