#Coor Free
-129.010989 10.048247
-127.032967 9.534122
-125.054945 8.914041
-123.076923 8.320912
-121.098901 7.874614
-119.120879 7.505268
-117.142857 7.203305
-115.164835 6.974988
-113.186813 6.771053
-111.208791 6.465860
-109.230769 5.931949
-107.252747 5.348823
-105.274725 4.833851
-103.296703 4.401916
-101.318681 4.014151
-99.340659 3.548378
-97.362637 3.087595
-95.384615 2.704905
-93.406593 2.335793
-91.428571 1.980019
-89.450549 1.691884
-87.472527 1.447470
-85.494505 1.256736
-83.516484 1.054892
-81.538462 0.837323
-79.560440 0.567616
-77.582418 0.259401
-75.604396 0.088544
-73.626374 0.037030
-71.648352 0.008514
-69.670330 0.000000
-67.692308 0.006047
-65.714286 0.041092
-63.736264 0.048829
-61.758242 0.025558
-59.780220 0.052901
-57.802198 0.154879
-55.824176 0.224626
-53.846154 0.247166
-51.868132 0.302951
-49.890110 0.420167
-47.912088 0.541052
-45.934066 0.693451
-43.956044 0.886313
-41.978022 1.089899
-40.000000 1.295850
-38.021978 1.515984
-36.043956 1.720608
-34.065934 1.873237
-32.087912 1.999349
-30.109890 2.127460
-28.131868 2.258140
-26.153846 2.404607
-24.175824 2.560853
-22.197802 2.736332
-20.219780 2.935601
-18.241758 3.067751
-16.263736 3.152187
-14.285714 3.263140
-12.307692 3.418366
-10.329670 3.585105
-8.351648 3.797684
-6.373626 4.063340
-4.395604 4.356280
-2.417582 4.571997
-0.439560 4.690603
1.538462 4.771824
3.516484 4.852529
5.494505 4.947879
7.472527 5.168668
9.450549 5.517565
11.428571 5.818017
13.406593 5.983799
15.384615 6.116243
17.362637 6.263392
19.340659 6.445865
21.318681 6.609721
23.296703 6.736033
25.274725 6.886335
27.252747 7.083027
29.230769 7.302285
31.208791 7.513642
33.186813 7.699886
35.164835 7.871155
37.142857 8.079630
39.120879 8.320186
41.098901 8.560453
43.076923 8.825891
45.054945 9.109210
47.032967 9.412570
49.010989 9.748401
#Window Free
#0 0.000000
#1 0.256616
#2 0.496473
#3 0.714073
#4 0.930642
#5 1.171766
#6 1.453459
#7 1.778368
#8 2.138468
#9 2.527784
#10 2.948522
#11 3.389978
#12 3.829041
#13 4.271575
#14 4.748577
#15 5.266561
#16 5.774051
#17 6.178848
#18 6.469539
#19 6.731503
#20 7.029517
#21 7.387632
#22 7.817087
#23 8.320373
#24 8.832491
#25 9.077296
#26 -0.230227
#27 -0.392065
#28 -0.481999
#29 -0.523586
#30 -0.537843
#31 -0.533898
#32 -0.520430
#33 -0.510484
#34 -0.501831
#35 -0.472533
#36 -0.414998
#37 -0.350873
#38 -0.294830
#39 -0.229822
#40 -0.137073
#41 -0.015888
#42 0.131396
#43 0.305187
#44 0.499803
#45 0.706059
#46 0.915893
#47 1.115652
#48 1.289076
#49 1.435697
#50 1.570266
#51 1.706293
#52 1.851271
#53 2.008860
#54 2.178780
#55 2.348451
#56 2.494357
#57 2.614790
#58 2.736668
#59 2.881233
#60 3.054726
#61 3.262032
#62 3.503390
#63 3.756409
#64 3.974262
#65 4.126893
#66 4.233490
#67 4.335030
#68 4.472539
#69 4.677282
#70 4.943495
#71 5.213730
#72 5.428368
#73 5.594841
#74 5.752750
#75 5.916098
#76 6.074930
#77 6.227793
#78 6.392225
#79 6.580646
#80 6.786041
#81 6.991155
#82 7.186587
#83 7.381437
#84 7.592043
#85 7.823471
#86 8.072239
#87 8.338127
#88 8.622449
#89 8.911658
#90 9.077296
