#Coor Free
-129.000000 10.519398
-127.000000 9.570428
-125.000000 8.741050
-123.000000 8.121409
-121.000000 7.748805
-119.000000 7.491011
-117.000000 7.221916
-115.000000 6.988925
-113.000000 6.792172
-111.000000 6.570362
-109.000000 6.158171
-107.000000 5.557639
-105.000000 4.952219
-103.000000 4.436832
-101.000000 3.970654
-99.000000 3.557058
-97.000000 3.142850
-95.000000 2.775462
-93.000000 2.415361
-91.000000 2.071563
-89.000000 1.791586
-87.000000 1.559023
-85.000000 1.288403
-83.000000 1.063819
-81.000000 0.900264
-79.000000 0.800429
-77.000000 0.681216
-75.000000 0.500318
-73.000000 0.278115
-71.000000 0.152375
-69.000000 0.091027
-67.000000 0.019551
-65.000000 0.000000
-63.000000 0.056564
-61.000000 0.125597
-59.000000 0.211168
-57.000000 0.354094
-55.000000 0.463787
-53.000000 0.565574
-51.000000 0.642368
-49.000000 0.721015
-47.000000 0.838120
-45.000000 0.961310
-43.000000 1.079815
-41.000000 1.218164
-39.000000 1.329650
-37.000000 1.404676
-35.000000 1.444120
-33.000000 1.484786
-31.000000 1.594487
-29.000000 1.771167
-27.000000 2.017323
-25.000000 2.231135
-23.000000 2.404686
-21.000000 2.613478
-19.000000 2.817131
-17.000000 2.942211
-15.000000 3.023407
-13.000000 3.120429
-11.000000 3.240475
-9.000000 3.360129
-7.000000 3.465055
-5.000000 3.639646
-3.000000 3.834400
-1.000000 4.059215
1.000000 4.328385
3.000000 4.562335
5.000000 4.729406
7.000000 4.953172
9.000000 5.207008
11.000000 5.489112
13.000000 5.772029
15.000000 6.056273
17.000000 6.369673
19.000000 6.655082
21.000000 6.828509
23.000000 6.982470
25.000000 7.191677
27.000000 7.403220
29.000000 7.627903
31.000000 7.873068
33.000000 8.109389
35.000000 8.265571
37.000000 8.427388
39.000000 8.569146
41.000000 8.730002
43.000000 8.993293
45.000000 9.283068
47.000000 9.604825
49.000000 10.007916
#Window Free
#0 0.000000
#1 -0.435335
#2 -1.043007
#3 -1.544600
#4 -1.925768
#5 -2.226828
#6 -2.487221
#7 -2.724666
#8 -2.964378
#9 -3.279584
#10 -3.736903
#11 -4.282667
#12 -4.822399
#13 -5.317690
#14 -5.769604
#15 -6.189523
#16 -6.584599
#17 -6.957033
#18 -7.307363
#19 -7.628384
#20 -7.914026
#21 -8.173763
#22 -8.416998
#23 -8.632550
#24 -8.806670
#25 -8.946742
#26 -9.083961
#27 -9.245277
#28 -9.416375
#29 -9.558778
#30 -9.657730
#31 -9.722109
#32 -9.752450
#33 -9.740791
#34 -9.691048
#35 -9.613456
#36 -9.512571
#37 -9.399014
#38 -9.290762
#39 -9.195554
#40 -9.106761
#41 -9.010325
#42 -8.899781
#43 -8.779931
#44 -8.656667
#45 -8.539224
#46 -8.442804
#47 -8.372903
#48 -8.312833
#49 -8.231348
#50 -8.104064
#51 -7.927159
#52 -7.720158
#53 -7.512892
#54 -7.315107
#55 -7.123751
#56 -6.954836
#57 -6.825120
#58 -6.720062
#59 -6.614806
#60 -6.501410
#61 -6.380406
#62 -6.242060
#63 -6.074073
#64 -5.875336
#65 -5.650467
#66 -5.414127
#67 -5.190125
#68 -4.978674
#69 -4.754758
#70 -4.505298
#71 -4.235098
#72 -3.953211
#73 -3.664278
#74 -3.377926
#75 -3.122644
#76 -2.914925
#77 -2.727368
#78 -2.529541
#79 -2.316177
#80 -2.090921
#81 -1.863024
#82 -1.653206
#83 -1.473605
#84 -1.312474
#85 -1.147832
#86 -0.953038
#87 -0.711380
#88 -0.425869
#89 -0.119051
#90 0.000000
