#Coor Free
-129.000000 5.075669
-127.000000 4.603351
-125.000000 4.180845
-123.000000 3.812774
-121.000000 3.472129
-119.000000 3.164592
-117.000000 2.891357
-115.000000 2.598073
-113.000000 2.355572
-111.000000 2.134552
-109.000000 1.891156
-107.000000 1.605334
-105.000000 1.340168
-103.000000 1.158658
-101.000000 1.052560
-99.000000 0.904289
-97.000000 0.720323
-95.000000 0.601712
-93.000000 0.538337
-91.000000 0.486337
-89.000000 0.416482
-87.000000 0.325498
-85.000000 0.195964
-83.000000 0.101532
-81.000000 0.064573
-79.000000 0.017631
-77.000000 0.000000
-75.000000 0.038532
-73.000000 0.111807
-71.000000 0.137970
-69.000000 0.109777
-67.000000 0.117072
-65.000000 0.146697
-63.000000 0.208782
-61.000000 0.280377
-59.000000 0.403740
-57.000000 0.534923
-55.000000 0.663307
-53.000000 0.788727
-51.000000 0.924754
-49.000000 1.083546
-47.000000 1.209155
-45.000000 1.271414
-43.000000 1.305407
-41.000000 1.375616
-39.000000 1.489286
-37.000000 1.581747
-35.000000 1.665644
-33.000000 1.768932
-31.000000 1.868816
-29.000000 1.946127
-27.000000 1.986944
-25.000000 1.957849
-23.000000 1.947670
-21.000000 1.997339
-19.000000 2.081898
-17.000000 2.160983
-15.000000 2.219991
-13.000000 2.269104
-11.000000 2.358696
-9.000000 2.420761
-7.000000 2.377170
-5.000000 2.379674
-3.000000 2.436874
-1.000000 2.465165
1.000000 2.461082
3.000000 2.476813
5.000000 2.515310
7.000000 2.576637
9.000000 2.636224
11.000000 2.700275
13.000000 2.807081
15.000000 2.934826
17.000000 3.026703
19.000000 3.127662
21.000000 3.247904
23.000000 3.377443
25.000000 3.445856
27.000000 3.495583
29.000000 3.550966
31.000000 3.645361
33.000000 3.762798
35.000000 3.844590
37.000000 3.894117
39.000000 4.012821
41.000000 4.235223
43.000000 4.442850
45.000000 4.594436
47.000000 4.723228
49.000000 4.937330
#Window Free
#0 0.000000
#1 -0.216125
#2 -0.578697
#3 -0.942437
#4 -1.276955
#5 -1.584285
#6 -1.871890
#7 -2.143244
#8 -2.395544
#9 -2.637495
#10 -2.887225
#11 -3.144404
#12 -3.382116
#13 -3.575865
#14 -3.731449
#15 -3.877970
#16 -4.025225
#17 -4.151915
#18 -4.244576
#19 -4.315111
#20 -4.385916
#21 -4.472389
#22 -4.571997
#23 -4.663849
#24 -4.731215
#25 -4.775131
#26 -4.796025
#27 -4.786588
#28 -4.751685
#29 -4.717215
#30 -4.703520
#31 -4.698359
#32 -4.679250
#33 -4.637143
#34 -4.571066
#35 -4.479823
#36 -4.366105
#37 -4.240640
#38 -4.111846
#39 -3.979386
#40 -3.841775
#41 -3.710788
#42 -3.608428
#43 -3.537528
#44 -3.473040
#45 -3.393070
#46 -3.300239
#47 -3.206306
#48 -3.112379
#49 -3.018305
#50 -2.935147
#51 -2.880116
#52 -2.860435
#53 -2.855451
#54 -2.832618
#55 -2.780198
#56 -2.710589
#57 -2.641502
#58 -2.577709
#59 -2.513986
#60 -2.459992
#61 -2.435841
#62 -2.428480
#63 -2.409712
#64 -2.382358
#65 -2.362361
#66 -2.345765
#67 -2.318119
#68 -2.274032
#69 -2.217337
#70 -2.150059
#71 -2.066350
#72 -1.964850
#73 -1.857412
#74 -1.752082
#75 -1.643608
#76 -1.532408
#77 -1.434377
#78 -1.359695
#79 -1.295079
#80 -1.220340
#81 -1.129964
#82 -1.037536
#83 -0.952085
#84 -0.852803
#85 -0.711318
#86 -0.531571
#87 -0.348309
#88 -0.183087
#89 -0.037865
#90 0.000000
